time,x,y,z,Roll,Pitch,Yaw
0.72,500.0,0.0,200.0,0.0,0.0,0.0
0.73,500.0,0.0,200.0,0.0,0.0,0.0
0.74,500.0,0.0,200.0,0.0,0.0,0.0
0.75,500.0,0.0,200.0,0.0,0.0,0.0
0.76,500.0,0.0,200.0,0.0,0.0,0.0
0.77,500.0,0.0,200.0,0.0,0.0,0.0
0.78,500.0,0.0,200.0,0.0,0.0,0.0
0.79,500.0,0.0,200.0,0.0,0.0,0.0
0.8,500.0,0.0,200.0,0.0,0.0,0.0
0.81,500.0,0.0,200.0,0.0,0.0,0.0
0.8200000000000001,500.0,0.0,200.0,0.0,0.0,0.0
0.8300000000000001,500.0,0.0,200.0,0.0,0.0,0.0
0.84,500.0,0.0,200.0,0.0,0.0,0.0
0.85,500.0,0.0,200.0,0.0,0.0,0.0
0.86,500.0,0.0,200.0,0.0,0.0,0.0
0.87,500.0,0.0,200.0,0.0,0.0,0.0
0.88,500.0,0.0,200.0,0.0,0.0,0.0
0.89,500.0,0.0,200.0,0.0,0.0,0.0
0.9,500.0,0.0,200.0,0.0,0.0,0.0
0.91,500.0,0.0,200.0,0.0,0.0,0.0
0.92,500.0,0.0,200.0,0.0,0.0,0.0
0.93,500.0,0.0,200.0,0.0,0.0,0.0
0.9400000000000001,500.0,0.0,200.0,0.0,0.0,0.0
0.9500000000000001,500.0,0.0,200.0,0.0,0.0,0.0
0.96,500.0,0.0,200.0,0.0,0.0,0.0
0.97,500.0,0.0,200.0,0.0,0.0,0.0
0.98,500.0,0.0,200.0,0.0,0.0,0.0
0.99,500.0,0.0,200.0,0.0,0.0,0.0
1.0,500.0,0.0,200.0,0.0,0.0,0.0
